板块,网址,标题,网址,时间,点击量
学术活动,https://www.nsmc.edu.cn/kejichu/900,建校70周年“校庆学术活动周”---学术讲座（贺前松）,https://www.nsmc.edu.cn/kejichu/50397.html,2021-10-25 16:11,1094次
学术活动,https://www.nsmc.edu.cn/kejichu/900,建校70周年系列讲座暨网络思政大讲堂（杨清武）,https://www.nsmc.edu.cn/kejichu/50272.html,2021-10-24 20:23,975次
学术活动,https://www.nsmc.edu.cn/kejichu/900,建校70周年“校庆学术活动周”学术讲座（伍春莲）,https://www.nsmc.edu.cn/kejichu/50271.html,2021-10-24 20:14,934次
学术活动,https://www.nsmc.edu.cn/kejichu/900,建校70周年校友星辉系列讲座——川北医学院博士论坛33讲（李兴辉）,https://www.nsmc.edu.cn/kejichu/50241.html,2021-10-22 15:48,1107次
学术活动,https://www.nsmc.edu.cn/kejichu/900,建校70周年校庆结束活动周系列活动之——国家继续教育项目“肿瘤放射治疗物理培训班”,https://www.nsmc.edu.cn/kejichu/50240.html,2021-10-22 15:46,904次
学术活动,https://www.nsmc.edu.cn/kejichu/900,建校70周年高质量发展院士论坛,https://www.nsmc.edu.cn/kejichu/50238.html,2021-10-22 15:43,901次
学术活动,https://www.nsmc.edu.cn/kejichu/900,建校70周年“校庆学术活动月”学术讲座(廖翔慧),https://www.nsmc.edu.cn/kejichu/50194.html,2021-10-21 17:18,957次
学术活动,https://www.nsmc.edu.cn/kejichu/900,建校70周年系列讲座——川北医学院博士论坛32讲（印崇）,https://www.nsmc.edu.cn/kejichu/50152.html,2021-10-20 11:23,1212次
学术活动,https://www.nsmc.edu.cn/kejichu/900,"建校70周年""校庆学术活动月""学术讲座（李昂）",https://www.nsmc.edu.cn/kejichu/50065.html,2021-10-18 17:44,825次
科研平台,https://www.nsmc.edu.cn/kejichu/901,风湿免疫研究所简介,https://www.nsmc.edu.cn/kejichu/48531.html,2021-08-25 15:11,3067次
科研平台,https://www.nsmc.edu.cn/kejichu/901,脑功能调控与成像研究所简介,https://www.nsmc.edu.cn/kejichu/41526.html,2020-11-06 10:42,2540次
科研平台,https://www.nsmc.edu.cn/kejichu/901,四川省基层卫生事业发展研究中心简介,https://www.nsmc.edu.cn/kejichu/41487.html,2020-11-04 10:58,3268次
科研平台,https://www.nsmc.edu.cn/kejichu/901,形态学研究所简介,https://www.nsmc.edu.cn/kejichu/26927.html,2018-04-08 00:00,5622次
科研平台,https://www.nsmc.edu.cn/kejichu/901,组织工程与干细胞研究所简介,https://www.nsmc.edu.cn/kejichu/26929.html,2018-04-08 00:00,5136次
科研平台,https://www.nsmc.edu.cn/kejichu/901,分子生物学研究简介,https://www.nsmc.edu.cn/kejichu/26931.html,2018-04-08 00:00,4503次
科研平台,https://www.nsmc.edu.cn/kejichu/901,药物研究所简介,https://www.nsmc.edu.cn/kejichu/26925.html,2018-04-02 00:00,5689次
科研平台,https://www.nsmc.edu.cn/kejichu/901,医学影像研究所简介,https://www.nsmc.edu.cn/kejichu/26933.html,2018-04-02 00:00,6708次
科研平台,https://www.nsmc.edu.cn/kejichu/901,转化医学研究中心简介,https://www.nsmc.edu.cn/kejichu/26934.html,2015-07-09 00:00,4477次
科研平台,https://www.nsmc.edu.cn/kejichu/901,神经疾病研究所简介,https://www.nsmc.edu.cn/kejichu/26932.html,2015-07-03 00:00,6026次
