序号,城市名称,所属地级市,城市规模,单价（元/㎡）
358,瑞丽市,德宏,小城市,6227
359,介休市,晋中,小城市,6221
360,自贡市辖区,自贡,大城市,6200
361,普宁市,揭阳,中等城市,6190
362,郴州市辖区,郴州,中等城市,6189
363,平顶山市辖区,平顶山,中等城市,6182
364,延安市辖区,延安,小城市,6177
365,雅安市辖区,雅安,小城市,6158
366,禹城市,德州,小城市,6138
367,开平市,江门,小城市,6118
368,监利市,荆州,小城市,6115
369,广汉市,德阳,小城市,6109
370,运城市辖区,运城,中等城市,6103
371,巴彦淖尔市辖区,巴彦淖尔,小城市,6092
372,娄底市辖区,娄底,中等城市,6084
373,湘乡市,湘潭,小城市,6072
374,阳江市辖区,阳江,中等城市,6018
375,灵武市,银川,小城市,6017
376,锦州市辖区,锦州,大城市,6016
377,酒泉市辖区,酒泉,小城市,6011
378,蒙自市,红河,小城市,6010
379,攀枝花市辖区,攀枝花,中等城市,6003
380,南宫市,邢台,小城市,5971
381,潜江市,潜江,小城市,5956
382,禹州市,许昌,小城市,5953
383,恩平市,江门,小城市,5921
384,孝感市辖区,孝感,中等城市,5914
385,麻城市,黄冈,小城市,5901
386,招远市,烟台,小城市,5898
387,兴城市,葫芦岛,小城市,5877
388,恩施市,恩施,小城市,5876
389,兴平市,咸阳,小城市,5875
390,曲靖市辖区,曲靖,中等城市,5865
391,文山市,文山,小城市,5835
392,渭南市辖区,渭南,中等城市,5824
393,兴宁市,梅州,小城市,5821
394,仙桃市,仙桃,小城市,5807
395,香格里拉市,迪庆,小城市,5793
396,贺州市辖区,贺州,小城市,5788
397,昌吉市,昌吉,小城市,5778
398,北海市辖区,北海,中等城市,5777
399,醴陵市,株洲,小城市,5756
400,乐山市辖区,乐山,中等城市,5753
401,侯马市,临汾,小城市,5750
402,清镇市,贵阳,小城市,5747
403,乌海市辖区,乌海,中等城市,5739
404,横州市,南宁,小城市,5723
405,昭通市辖区,昭通,小城市,5698
406,贵港市辖区,贵港,小城市,5690
407,利川市,恩施,小城市,5689
408,固原市辖区,固原,小城市,5687
409,衡阳市辖区,衡阳,大城市,5685
410,遵义市辖区,遵义,大城市,5680
411,彬州市,咸阳,小城市,5665
412,白银市辖区,白银,小城市,5660
413,射洪市,遂宁,小城市,5660
414,海东市辖区,海东,小城市,5648
415,孝义市,吕梁,小城市,5630
416,东港市,丹东,小城市,5603
417,萍乡市辖区,萍乡,中等城市,5599
418,邓州市,南阳,小城市,5568
419,周口市辖区,周口,中等城市,5562
420,湘潭市辖区,湘潭,中等城市,5546
421,沁阳市,焦作,小城市,5536
422,辉县市,新乡,小城市,5525
423,桂平市,贵港,小城市,5522
424,贵溪市,鹰潭,小城市,5511
425,安康市辖区,安康,小城市,5504
426,德惠市,长春,小城市,5495
427,深州市,衡水,小城市,5479
428,喀什市,喀什,小城市,5477
429,龙南市,赣州,小城市,5476
430,梅河口市,通化,小城市,5471
431,水富市,昭通,小城市,5451
432,什邡市,德阳,小城市,5436
433,祁阳市,永州,小城市,5431
434,齐齐哈尔市辖区,齐齐哈尔,大城市,5428
435,朝阳市辖区,朝阳,小城市,5392
436,阳春市,阳江,小城市,5379
437,临湘市,岳阳,小城市,5378
438,大庆市辖区,大庆,大城市,5374
439,四会市,肇庆,小城市,5371
440,乌兰浩特市,兴安,小城市,5370
441,长葛市,许昌,小城市,5365
442,绵竹市,德阳,小城市,5363
443,江油市,绵阳,小城市,5353
444,云浮市辖区,云浮,小城市,5344
445,葫芦岛市辖区,葫芦岛,中等城市,5339
446,海城市,鞍山,小城市,5338
447,延吉市,延边,中等城市,5335
448,安丘市,潍坊,小城市,5325
449,巴中市辖区,巴中,中等城市,5318
450,梧州市辖区,梧州,中等城市,5307
451,孟州市,焦作,小城市,5306
452,永州市辖区,永州,中等城市,5302
453,阿图什市,克州,小城市,5302
454,随州市辖区,随州,小城市,5301
455,卫辉市,新乡,小城市,5299
456,怀化市辖区,怀化,中等城市,5293
457,肇东市,绥化,小城市,5278
458,信宜市,茂名,小城市,5276
459,当阳市,宜昌,小城市,5270
460,邵阳市辖区,邵阳,中等城市,5261
461,呼伦贝尔市辖区,呼伦贝尔,小城市,5255
462,防城港市辖区,防城港,小城市,5249
463,本溪市辖区,本溪,中等城市,5240
464,凯里市,黔东南,小城市,5221
465,楚雄市,楚雄,小城市,5216
466,抚顺市辖区,抚顺,大城市,5212
467,大冶市,黄石,小城市,5208
468,锡林浩特市,锡林郭勒,小城市,5156
469,宝鸡市辖区,宝鸡,大城市,5156
470,广安市辖区,广安,小城市,5153
471,克拉玛依市辖区,克拉玛依,小城市,5152
472,凌源市,朝阳,小城市,5145
473,通化市辖区,通化,小城市,5137
474,玉林市辖区,玉林,中等城市,5134
475,铜仁市辖区,铜仁,小城市,5134
476,舞钢市,平顶山,小城市,5126
477,天门市,天门,小城市,5116
478,应城市,孝感,小城市,5115
479,汝州市,平顶山,小城市,5103
480,北流市,玉林,小城市,5088
481,牡丹江市辖区,牡丹江,中等城市,5082
482,武冈市,邵阳,小城市,5062
483,华蓥市,广安,小城市,5059
484,海阳市,烟台,小城市,5051
485,三门峡市辖区,三门峡,中等城市,5042
486,钟祥市,荆门,小城市,5034
487,四平市辖区,四平,中等城市,5029
488,沅江市,益阳,小城市,5028
489,绥化市辖区,绥化,小城市,5025
490,项城市,周口,小城市,5007
491,铜川市辖区,铜川,小城市,4996
492,毕节市辖区,毕节,小城市,4995
493,中卫市辖区,中卫,小城市,4990
494,阿勒泰市,阿勒泰,小城市,4989
495,松滋市,荆州,小城市,4979
496,营口市辖区,营口,中等城市,4969
497,荆门市辖区,荆门,中等城市,4962
498,鞍山市辖区,鞍山,大城市,4957
499,大石桥市,营口,小城市,4957
500,林州市,安阳,小城市,4942
501,宜都市,宜昌,小城市,4941
502,乐昌市,韶关,小城市,4934
503,公主岭市,长春,小城市,4896
504,灵宝市,三门峡,小城市,4881
505,宜城市,襄阳,小城市,4861
506,枣阳市,襄阳,小城市,4858
507,阆中市,南充,小城市,4838
508,永济市,运城,小城市,4836
509,吉首市,湘西,小城市,4806
510,白城市辖区,白城,小城市,4775
511,华亭市,平凉,小城市,4764
512,枝江市,宜昌,小城市,4745
513,石首市,荆州,小城市,4735
514,赤壁市,咸宁,小城市,4732
515,辽阳市辖区,辽阳,中等城市,4728
516,钦州市辖区,钦州,小城市,4723
517,鸡西市辖区,鸡西,中等城市,4723
518,库尔勒市,巴州,中等城市,4713
519,百色市辖区,百色,小城市,4700
520,安陆市,孝感,小城市,4699
521,河池市辖区,河池,小城市,4688
522,松原市辖区,松原,小城市,4685
523,资兴市,郴州,小城市,4685
524,阿克苏市,阿克苏,中等城市,4667
525,罗定市,云浮,小城市,4662
526,冷水江市,娄底,小城市,4656
527,岑溪市,梧州,小城市,4652
528,安顺市辖区,安顺,小城市,4652
529,老河口市,襄阳,小城市,4634
530,京山市,荆门,小城市,4626
531,佳木斯市辖区,佳木斯,中等城市,4605
532,咸宁市辖区,咸宁,小城市,4597
533,洪湖市,荆州,小城市,4587
534,六盘水市辖区,六盘水,中等城市,4570
535,盘锦市辖区,盘锦,中等城市,4544
536,汨罗市,岳阳,小城市,4541
537,伊春市辖区,伊春,小城市,4529
538,靖西市,百色,小城市,4518
539,和田市,和田,小城市,4508
540,阳泉市辖区,阳泉,中等城市,4504
541,盘州市,六盘水,小城市,4490
542,嘉峪关市辖区,嘉峪关,小城市,4487
543,广水市,随州,小城市,4449
544,金昌市辖区,金昌,小城市,4427
545,邵东市,邵阳,小城市,4417
546,开远市,红河,小城市,4412
547,来宾市辖区,来宾,小城市,4401
548,格尔木市,海西,小城市,4387
549,崇左市辖区,崇左,小城市,4381
550,阿拉尔市,阿拉尔,小城市,4354
551,满洲里市,呼伦贝尔,小城市,4323
552,韩城市,渭南,小城市,4298
553,乌兰察布市辖区,乌兰察布,小城市,4277
554,灯塔市,辽阳,小城市,4266
555,凌海市,锦州,小城市,4244
556,黑河市辖区,黑河,小城市,4233
557,奎屯市,伊犁,小城市,4229
558,宣威市,曲靖,小城市,4228
559,舒兰市,吉林,小城市,4218
560,耒阳市,衡阳,小城市,4212
561,白山市辖区,白山,小城市,4191
562,五家渠市,五家渠,小城市,4176
563,霍林郭勒市,通辽,小城市,4171
564,青铜峡市,吴忠,小城市,4138
565,库车市,阿克苏,小城市,4135
566,阜新市辖区,阜新,中等城市,4116
567,哈密市辖区,哈密,小城市,4106
568,都匀市,黔南,小城市,4097
569,兴义市,黔西南,小城市,4079
570,东兴市,防城港,小城市,4063
571,朔州市辖区,朔州,小城市,4061
572,辽源市辖区,辽源,小城市,4054
573,海伦市,绥化,小城市,4010
574,津市市,常德,小城市,3990
575,丹江口市,十堰,小城市,3986
576,赤水市,遵义,小城市,3979
577,福泉市,黔南,小城市,3947
578,开原市,铁岭,小城市,3946
579,北安市,黑河,小城市,3931
580,个旧市,红河,小城市,3923
581,怀仁市,朔州,小城市,3901
582,乳山市,威海,小城市,3873
583,宁安市,牡丹江,小城市,3867
584,平果市,百色,小城市,3705
585,兴仁市,黔西南,小城市,3705
586,博乐市,博州,小城市,3694
587,石嘴山市辖区,石嘴山,小城市,3688
588,铁力市,伊春,小城市,3666
589,黔西市,毕节,小城市,3653
590,安达市,绥化,小城市,3610
591,张掖市辖区,张掖,小城市,3493
592,德令哈市,海西,小城市,3416
593,铁岭市辖区,铁岭,小城市,3376
594,调兵山市,铁岭,小城市,3346
595,七台河市辖区,七台河,小城市,3299
596,东宁市,牡丹江,小城市,3235
597,吐鲁番市辖区,吐鲁番,小城市,3207
598,玉门市,酒泉,小城市,3126
599,双鸭山市辖区,双鸭山,小城市,2813
